id,target
0,Airplane
1,Bird
2,Bird
3,Airplane
4,Airplane
5,Airplane
6,Airplane
7,Bird
8,Airplane
9,Airplane
10,Airplane
11,Bird
12,Bird
13,Bird
14,Airplane
15,Bird
16,Airplane
17,Airplane
18,Bird
19,Airplane
20,Bird
21,Airplane
22,Bird
23,Bird
24,Airplane
25,Bird
26,Airplane
27,Airplane
28,Airplane
29,Bird
30,Airplane
31,Bird
32,Airplane
33,Airplane
34,Bird
35,Bird
36,Airplane
37,Bird
38,Bird
39,Airplane
40,Airplane
41,Bird
42,Bird
43,Airplane
44,Airplane
45,Bird
46,Bird
47,Bird
48,Bird
49,Bird
50,Airplane
51,Airplane
52,Airplane
53,Bird
54,Airplane
55,Airplane
56,Airplane
57,Airplane
58,Airplane
59,Airplane
60,Bird
61,Airplane
62,Bird
63,Bird
64,Airplane
65,Bird
66,Bird
67,Bird
68,Bird
69,Bird
70,Bird
71,Bird
72,Airplane
73,Bird
74,Airplane
75,Airplane
76,Airplane
77,Airplane
78,Bird
79,Bird
80,Bird
81,Airplane
82,Airplane
83,Bird
84,Bird
85,Airplane
86,Bird
87,Airplane
88,Airplane
89,Bird
90,Bird
91,Airplane
92,Bird
93,Airplane
94,Airplane
95,Airplane
96,Airplane
97,Airplane
98,Airplane
99,Bird
100,Bird
101,Bird
102,Airplane
103,Airplane
104,Airplane
105,Airplane
106,Bird
107,Airplane
108,Bird
109,Bird
110,Bird
111,Bird
112,Airplane
113,Bird
114,Bird
115,Airplane
116,Bird
117,Airplane
118,Airplane
119,Airplane
120,Bird
121,Airplane
122,Airplane
123,Airplane
124,Airplane
125,Airplane
126,Airplane
127,Airplane
128,Airplane
129,Bird
130,Airplane
131,Bird
132,Bird
133,Bird
134,Airplane
135,Airplane
136,Bird
137,Bird
138,Airplane
139,Airplane
140,Bird
141,Bird
142,Bird
143,Bird
144,Airplane
145,Bird
146,Airplane
147,Bird
148,Airplane
149,Airplane
150,Airplane
151,Bird
152,Bird
153,Airplane
154,Bird
155,Airplane
156,Airplane
157,Airplane
158,Bird
159,Bird
160,Bird
161,Airplane
162,Airplane
163,Airplane
164,Airplane
165,Airplane
166,Airplane
167,Bird
168,Bird
169,Airplane
170,Bird
171,Bird
172,Airplane
173,Bird
174,Airplane
175,Airplane
176,Bird
177,Bird
178,Bird
179,Airplane
180,Bird
181,Bird
182,Bird
183,Bird
184,Bird
185,Airplane
186,Airplane
187,Bird
188,Airplane
189,Bird
190,Airplane
191,Airplane
192,Bird
193,Bird
194,Airplane
195,Bird
196,Airplane
197,Bird
198,Airplane
199,Bird
200,Bird
201,Bird
202,Bird
203,Bird
204,Airplane
205,Airplane
206,Airplane
207,Bird
208,Airplane
209,Bird
210,Bird
211,Bird
212,Airplane
213,Bird
214,Airplane
215,Bird
216,Airplane
217,Bird
218,Airplane
219,Airplane
220,Bird
221,Bird
222,Bird
223,Airplane
224,Bird
225,Airplane
226,Bird
227,Bird
228,Airplane
229,Airplane
230,Bird
231,Airplane
232,Bird
233,Bird
234,Airplane
235,Bird
236,Airplane
237,Bird
238,Bird
239,Airplane
240,Bird
241,Bird
242,Bird
243,Bird
244,Airplane
245,Airplane
246,Airplane
247,Airplane
248,Bird
249,Airplane
250,Airplane
251,Airplane
252,Airplane
253,Airplane
254,Bird
255,Bird
256,Airplane
257,Airplane
258,Bird
259,Airplane
260,Airplane
261,Airplane
262,Airplane
263,Airplane
264,Airplane
265,Bird
266,Airplane
267,Airplane
268,Airplane
269,Bird
270,Airplane
271,Bird
272,Bird
273,Bird
274,Airplane
275,Airplane
276,Airplane
277,Bird
278,Bird
279,Bird
280,Bird
281,Airplane
282,Bird
283,Bird
284,Bird
285,Bird
286,Airplane
287,Bird
288,Bird
289,Bird
290,Bird
291,Bird
292,Bird
293,Bird
294,Airplane
295,Airplane
296,Bird
297,Airplane
298,Airplane
299,Bird
300,Airplane
301,Airplane
302,Bird
303,Bird
304,Airplane
305,Airplane
306,Airplane
307,Airplane
308,Bird
309,Bird
310,Airplane
311,Airplane
312,Airplane
313,Airplane
314,Airplane
315,Airplane
316,Bird
317,Bird
318,Bird
319,Airplane
320,Airplane
321,Airplane
322,Airplane
323,Bird
324,Airplane
325,Airplane
326,Bird
327,Airplane
328,Airplane
329,Airplane
330,Airplane
331,Bird
332,Bird
333,Bird
334,Bird
335,Bird
336,Bird
337,Bird
338,Airplane
339,Airplane
340,Airplane
341,Airplane
342,Airplane
343,Airplane
344,Bird
345,Bird
346,Bird
347,Bird
348,Airplane
349,Bird
350,Bird
351,Airplane
352,Airplane
353,Airplane
354,Airplane
355,Bird
356,Bird
357,Airplane
358,Bird
359,Airplane
360,Airplane
361,Airplane
362,Airplane
363,Airplane
364,Airplane
365,Bird
366,Bird
367,Airplane
368,Airplane
369,Airplane
370,Airplane
371,Airplane
372,Bird
373,Bird
374,Airplane
375,Bird
376,Bird
377,Bird
378,Airplane
379,Bird
380,Airplane
381,Airplane
382,Airplane
383,Airplane
384,Airplane
385,Airplane
386,Airplane
387,Bird
388,Bird
389,Airplane
390,Bird
391,Bird
392,Bird
393,Bird
394,Airplane
395,Airplane
396,Airplane
397,Airplane
398,Bird
399,Bird
400,Airplane
401,Bird
402,Bird
403,Airplane
404,Bird
405,Bird
406,Bird
407,Airplane
408,Bird
409,Bird
410,Bird
411,Airplane
412,Airplane
413,Bird
414,Bird
415,Bird
416,Bird
417,Airplane
418,Airplane
419,Airplane
420,Airplane
421,Bird
422,Bird
423,Airplane
424,Bird
425,Airplane
426,Bird
427,Bird
428,Bird
429,Airplane
430,Bird
431,Airplane
432,Airplane
433,Airplane
434,Airplane
435,Bird
436,Bird
437,Bird
438,Bird
439,Airplane
