iter	Passed	Remaining
0	417	416788
1	1438	718041
2	1967	653775
3	3071	764895
4	3730	742347
5	4500	745540
6	5274	748175
7	6335	785625
8	7316	805663
9	7966	788641
10	8939	803758
11	9504	782541
12	10271	779810
13	11227	790721
14	12157	798318
15	12814	788089
16	13390	774288
17	13985	762988
18	14663	757094
19	15703	769450
20	16359	762675
21	17226	765791
22	18173	771983
23	19274	783849
24	19996	779847
25	20631	772897
26	21182	763345
27	22325	775024
28	23268	779094
29	24057	777844
30	24908	778576
31	25663	776321
32	26525	777271
33	27300	775643
34	28519	786331
35	29645	793845
36	30308	788844
37	31387	794607
38	32396	798290
39	33084	794020
40	34104	797710
41	35178	802393
42	36227	806283
43	37396	812514
44	38076	808067
45	38660	801783
46	39777	806561
47	41039	813941
48	42094	816984
49	42744	812145
50	43457	808641
51	44567	812495
52	45298	809394
53	46116	807886
54	47182	810685
55	48288	814004
56	49396	817215
57	50495	820117
58	51629	823441
59	52659	825006
60	53765	827632
61	54457	823889
62	55000	818026
63	55654	813950
64	56142	807583
65	57353	811636
66	58840	819374
67	60011	822507
68	61038	823575
69	62020	823984
70	62362	815976
71	63507	818546
72	63851	810832
73	64856	811578
74	65517	808052
75	66772	811810
76	67843	813246
77	68994	815550
78	69448	809650
79	70497	810716
80	70845	803792
81	71198	797080
82	72344	799271
83	73545	801993
84	74547	802485
85	75568	803134
86	76673	804636
87	77770	805989
88	78868	807298
89	80192	810837
90	81173	810847
91	81999	809301
92	82491	804516
93	83363	803483
94	84496	804944
95	85298	803226
96	86495	805206
97	87746	807626
98	89015	810131
99	90146	811316
100	91237	812101
101	92653	815714
102	93834	817180
103	95033	818752
104	96298	820827
105	96866	816970
106	97643	814909
107	98404	812744
108	99514	813459
109	100780	815406
110	101838	815626
111	102705	814309
112	103936	815855
113	104795	814463
114	105202	809602
115	106740	813433
116	107752	813205
117	109076	815303
118	110450	817701
119	111269	815975
120	112431	816754
121	112984	813114
122	114037	813096
123	115306	814586
124	116293	814053
125	117829	817325
126	118612	815343
127	119793	816092
128	120855	816005
129	121735	814688
130	123288	817842
131	123855	814444
132	124914	814294
133	126045	814591
134	127143	814659
135	128015	813276
136	129075	813083
137	130063	812427
138	131020	811575
139	132177	811948
140	133597	813899
141	134656	813629
142	136126	815808
143	137155	815313
144	138499	816670
145	139178	814097
146	140483	815184
147	141408	814055
148	142558	814211
149	143843	815114
150	144405	811920
151	145371	811019
152	146258	809679
153	147679	811277
154	148145	807630
155	149006	806161
156	150052	805696
157	150935	804349
158	152293	805524
159	153119	803879
160	154346	804327
161	155668	805246
162	157021	806298
163	158040	805621
164	158971	804489
165	160103	804377
166	161459	805364
167	162789	806197
168	163300	802976
169	164532	803305
170	165542	802541
171	167049	804168
172	168286	804469
173	169715	805660
174	170905	805695
175	172038	805454
176	173182	805249
177	174300	804913
178	175177	803467
179	176513	804118
180	177573	803497
181	178617	802795
182	179820	802805
183	180998	802688
184	181696	800444
185	182648	799331
186	183564	798065
187	184824	798282
188	185804	797286
189	187445	799109
190	188320	797652
191	189518	797557
192	190495	796528
193	191848	797059
194	193196	797554
195	194433	797575
196	195443	796653
197	196764	796994
198	197751	795974
199	198557	794228
200	200057	795251
201	201489	795981
202	202586	795376
203	203814	795277
204	205058	795226
205	206129	794497
206	207080	793307
207	208677	794579
208	209755	793860
209	210383	791442
210	211721	791698
211	212839	791119
212	213672	789485
213	214329	787211
214	215801	787926
215	217027	787729
216	218185	787277
217	219954	789012
218	221033	788251
219	221876	786651
220	222425	784023
221	223305	782575
222	225079	784245
223	226276	783884
224	227551	783787
225	228725	783333
226	229751	782368
227	231196	782823
228	232039	781234
229	233609	782082
230	234684	781266
231	235714	780296
232	236689	779144
233	238306	780098
234	239399	779323
235	241033	780293
236	241989	779063
237	243160	778520
238	244426	778279
239	245750	778208
240	246802	777273
241	247535	775339
242	249106	776022
243	250504	776152
244	251418	774780
245	252451	773774
246	253125	771673
247	254029	770283
248	255468	770509
249	256678	770036
250	258119	770243
251	259006	768797
252	260401	768854
253	261479	767968
254	262917	768131
255	263880	766902
256	264765	765450
257	266140	765412
258	266985	763845
259	267843	762324
260	269449	762922
261	270524	762012
262	271449	760678
263	272467	759606
264	273632	758942
265	274646	757858
266	275535	756431
267	276188	754365
268	277557	754254
269	278500	752981
270	279890	752914
271	280830	751634
272	281833	750523
273	282728	749126
274	283515	747449
275	284814	747121
276	285836	746065
277	286769	744774
278	288184	744735
279	288952	743021
280	290582	743518
281	291888	743177
282	292975	742274
283	293816	740748
284	295218	740636
285	296524	740273
286	297745	739694
287	298643	738313
288	300037	738153
289	301090	737152
290	301817	735355
291	303588	736096
292	305172	736371
293	306307	735554
294	307099	733916
295	308230	733088
296	309149	731758
297	309938	730124
298	310930	728970
299	311769	727461
300	312906	726649
301	313779	725225
302	314518	723496
303	315894	723231
304	316956	722246
305	318044	721315
306	318942	719957
307	320097	719179
308	321325	718562
309	322169	717086
310	323085	715774
311	324530	715631
312	325452	714331
313	326808	713983
314	328479	714313
315	329692	713638
316	330572	712243
317	331640	711254
318	332957	710796
319	334140	710048
320	335339	709331
321	336455	708438
322	337628	707661
323	339090	707484
324	339987	706127
325	340918	704842
326	342293	704476
327	343692	704150
328	345239	704120
329	346100	702688
330	347039	701419
331	348063	700321
332	348869	698786
333	349805	697515
334	351067	696894
335	352075	695768
336	352854	694191
337	353654	692659
338	354698	691610
339	355648	690375
340	356479	688915
341	357161	687170
342	358022	685775
343	358864	684345
344	359763	683030
345	360464	681341
346	362007	681241
347	362938	679987
348	364660	680211
349	365672	679106
350	366673	677979
351	368005	677464
352	369429	677113
353	370494	676099
354	371485	674953
355	372629	674082
356	374311	674179
357	375637	673629
358	376741	672678
359	377715	671493
360	378798	670505
361	379512	668865
362	380270	667306
363	381153	665972
364	382239	664991
365	383454	664235
366	384738	663594
367	385678	662361
368	386665	661208
369	388077	660780
370	389217	659885
371	390518	659262
372	391528	658145
373	392498	656962
374	393315	655526
375	394476	654662
376	395919	654265
377	397068	653377
378	398078	652260
379	398888	650818
380	399982	649839
381	400652	648176
382	402471	648367
383	403626	647483
